LIA,APN,,,,,
APN,MOM,,,,,
APN,RET,,,,,
SBC,APN,,,,,
SED,APN,,,,,
CA,COSI,,,,,
CA,GL,,,,,
CA,LOIA,,,,,
CA,OIN,,,,,
CA,SMA,,,,,
COSI,GL,,,,,
COSI,LOIA,,,,,
COSI,OIN,,,,,
COSI,SMA,,,,,
LIA,ELE,,,,,
RET,ELE,,,,,
SED,ELE,,,,,
GL,LOIA,,,,,
GL,OIN,,,,,
GL,SMA,,,,,
MFO,LIA,,,,,
LIA,ORO,,,,,
LIA,RET,,,,,
SBC,LIA,,,,,
SED,LIA,,,,,
OIN,LOIA,,,,,
MFO,MOM,,,,,
MFO,ORO,,,,,
MFO,RET,,,,,
MFO,SBC,,,,,
ORO,MOM,,,,,
RET,MOM,,,,,
SED,MOM,,,,,
OIN,SMA,,,,,
RET,ORO,,,,,
SBC,ORO,,,,,
SED,ORO,,,,,
SED,RET,,,,,
SEW,RET,,,,,
SED,SBC,,,,,
LIA,APN,ELE,,,,
APN,RET,ELE,,,,
LIA,APN,MFO,,,,
LIA,APN,MOM,,,,
LIA,APN,RET,,,,
LIA,SBC,APN,,,,
LIA,APN,SED,,,,
MFO,APN,MOM,,,,
MFO,APN,RET,,,,
MFO,SBC,APN,,,,
MFO,APN,SED,,,,
RET,APN,MOM,,,,
SBC,APN,MOM,,,,
SED,APN,MOM,,,,
SBC,APN,RET,,,,
SED,APN,RET,,,,
SED,SBC,APN,,,,
CA,COSI,GL,,,,
CA,COSI,OIN,,,,
CA,COSI,SMA,,,,
CA,GL,OIN,,,,
CA,GL,SMA,,,,
CA,OIN,LOIA,,,,
CA,OIN,SMA,,,,
COSI,GL,LOIA,,,,
COSI,GL,OIN,,,,
COSI,GL,SMA,,,,
COSI,OIN,LOIA,,,,
COSI,OIN,SMA,,,,
MFO,LIA,ELE,,,,
LIA,MOM,ELE,,,,
LIA,RET,ELE,,,,
SBC,LIA,ELE,,,,
SED,LIA,ELE,,,,
MFO,RET,ELE,,,,
MFO,SBC,ELE,,,,
MFO,SED,ELE,,,,
RET,MOM,ELE,,,,
SBC,MOM,ELE,,,,
SED,MOM,ELE,,,,
SBC,RET,ELE,,,,
SED,RET,ELE,,,,
SED,SBC,ELE,,,,
OIN,GL,LOIA,,,,
GL,OIN,SMA,,,,
MFO,LIA,MOM,,,,
MFO,LIA,ORO,,,,
MFO,LIA,RET,,,,
MFO,SBC,LIA,,,,
MFO,LIA,SED,,,,
LIA,ORO,MOM,,,,
RET,LIA,MOM,,,,
SBC,LIA,MOM,,,,
SED,LIA,MOM,,,,
RET,LIA,ORO,,,,
SBC,LIA,ORO,,,,
SED,LIA,ORO,,,,
SBC,LIA,RET,,,,
SED,LIA,RET,,,,
SEW,LIA,RET,,,,
SED,SBC,LIA,,,,
MFO,ORO,MOM,,,,
RET,MFO,MOM,,,,
MFO,SBC,MOM,,,,
MFO,MOM,SED,,,,
RET,MFO,ORO,,,,
MFO,SBC,ORO,,,,
MFO,ORO,SED,,,,
MFO,SBC,RET,,,,
MFO,RET,SED,,,,
SEW,MFO,RET,,,,
MFO,SBC,SED,,,,
RET,ORO,MOM,,,,
SBC,ORO,MOM,,,,
SED,ORO,MOM,,,,
RET,SBC,MOM,,,,
RET,SED,MOM,,,,
SED,SBC,MOM,,,,
RET,SBC,ORO,,,,
RET,SED,ORO,,,,
SED,SBC,ORO,,,,
SED,SBC,RET,,,,
BDA,ANGP,APRC,ARPS,,,
LIA,APN,RET,ELE,,,
LIA,APN,MFO,MOM,,,
LIA,APN,MFO,RET,,,
LIA,SBC,APN,MFO,,,
LIA,APN,MFO,SED,,,
RET,LIA,APN,MOM,,,
LIA,SBC,APN,MOM,,,
LIA,APN,MOM,SED,,,
LIA,SBC,APN,RET,,,
LIA,APN,RET,SED,,,
LIA,SBC,APN,SED,,,
RET,MFO,APN,MOM,,,
MFO,SBC,APN,MOM,,,
MFO,APN,MOM,SED,,,
MFO,SBC,APN,RET,,,
MFO,APN,RET,SED,,,
MFO,SBC,APN,SED,,,
RET,SBC,APN,MOM,,,
RET,SED,APN,MOM,,,
SED,SBC,APN,MOM,,,
SED,SBC,APN,RET,,,
BDA,TCO,APRC,ARPS,,,
CA,COSI,GL,OIN,,,
CA,COSI,GL,SMA,,,
CA,COSI,OIN,SMA,,,
CA,GL,OIN,SMA,,,
COSI,GL,LOIA,OIN,,,
COSI,GL,OIN,SMA,,,
MFO,LIA,MOM,ELE,,,
MFO,LIA,RET,ELE,,,
MFO,SBC,LIA,ELE,,,
MFO,LIA,SED,ELE,,,
RET,LIA,MOM,ELE,,,
SBC,LIA,MOM,ELE,,,
SED,LIA,MOM,ELE,,,
SBC,LIA,RET,ELE,,,
SED,LIA,RET,ELE,,,
SED,SBC,LIA,ELE,,,
RET,MFO,MOM,ELE,,,
MFO,SBC,MOM,ELE,,,
MFO,MOM,SED,ELE,,,
MFO,SBC,RET,ELE,,,
MFO,RET,SED,ELE,,,
MFO,SBC,SED,ELE,,,
RET,SBC,MOM,ELE,,,
RET,SED,MOM,ELE,,,
SED,SBC,MOM,ELE,,,
SED,SBC,RET,ELE,,,
MFO,LIA,ORO,MOM,,,
RET,MFO,LIA,MOM,,,
MFO,SBC,LIA,MOM,,,
MFO,LIA,MOM,SED,,,
RET,MFO,LIA,ORO,,,
MFO,SBC,LIA,ORO,,,
MFO,LIA,ORO,SED,,,
MFO,SBC,LIA,RET,,,
MFO,LIA,RET,SED,,,
MFO,SBC,LIA,SED,,,
RET,LIA,ORO,MOM,,,
SBC,LIA,ORO,MOM,,,
SED,LIA,ORO,MOM,,,
RET,SBC,LIA,MOM,,,
RET,SED,LIA,MOM,,,
SED,SBC,LIA,MOM,,,
RET,SBC,LIA,ORO,,,
RET,SED,LIA,ORO,,,
SED,SBC,LIA,ORO,,,
SED,SBC,LIA,RET,,,
RET,MFO,ORO,MOM,,,
MFO,SBC,ORO,MOM,,,
MFO,ORO,MOM,SED,,,
RET,MFO,SBC,MOM,,,
RET,MFO,MOM,SED,,,
MFO,SBC,MOM,SED,,,
RET,MFO,SBC,ORO,,,
RET,MFO,ORO,SED,,,
MFO,SBC,ORO,SED,,,
MFO,SBC,RET,SED,,,
RET,SBC,ORO,MOM,,,
RET,SED,ORO,MOM,,,
SED,SBC,ORO,MOM,,,
RET,SED,SBC,MOM,,,
RET,SED,SBC,ORO,,,
BDA,RSF,ANGP,APRC,ARPS,,
WEBS,BDA,ANGP,APRC,ARPS,,
MFO,APN,RET,MOM,LIA,,
MFO,APN,MOM,SBC,LIA,,
MFO,SED,APN,MOM,LIA,,
MFO,APN,RET,SBC,LIA,,
MFO,SED,APN,RET,LIA,,
MFO,SED,APN,SBC,LIA,,
APN,RET,MOM,SBC,LIA,,
SED,APN,RET,MOM,LIA,,
SED,APN,MOM,SBC,LIA,,
SED,APN,RET,SBC,LIA,,
MFO,APN,RET,MOM,SBC,,
MFO,SED,APN,RET,MOM,,
MFO,SED,APN,MOM,SBC,,
MFO,SED,APN,RET,SBC,,
SED,APN,RET,MOM,SBC,,
WEBS,BDA,DSE,APRC,ARPS,,
WEBS,BDA,GEE,APRC,ARPS,,
CA,OIN,COSI,GL,SMA,,
MFO,RET,MOM,LIA,ELE,,
MFO,RET,SBC,LIA,ELE,,
MFO,SED,RET,LIA,ELE,,
RET,MOM,SBC,LIA,ELE,,
SED,RET,MOM,LIA,ELE,,
SED,MOM,SBC,LIA,ELE,,
SED,RET,SBC,LIA,ELE,,
MFO,RET,MOM,SBC,ELE,,
MFO,SED,RET,MOM,ELE,,
MFO,SED,RET,SBC,ELE,,
SED,RET,MOM,SBC,ELE,,
MFO,ORO,RET,MOM,LIA,,
MFO,ORO,MOM,SBC,LIA,,
MFO,ORO,SED,MOM,LIA,,
MFO,RET,MOM,SBC,LIA,,
MFO,SED,RET,MOM,LIA,,
MFO,SED,MOM,SBC,LIA,,
MFO,ORO,RET,SBC,LIA,,
MFO,ORO,SED,RET,LIA,,
MFO,SED,RET,SBC,LIA,,
ORO,RET,MOM,SBC,LIA,,
ORO,SED,RET,MOM,LIA,,
ORO,SED,MOM,SBC,LIA,,
SED,RET,MOM,SBC,LIA,,
ORO,SED,RET,SBC,LIA,,
MFO,ORO,RET,MOM,SBC,,
MFO,ORO,SED,RET,MOM,,
MFO,SED,RET,MOM,SBC,,
MFO,ORO,SED,RET,SBC,,
ORO,SED,RET,MOM,SBC,,
WEBS,BDA,RSF,ANGP,APRC,ARPS,
MFO,APN,RET,MOM,SBC,LIA,
MFO,SED,APN,RET,MOM,LIA,
MFO,SED,APN,MOM,SBC,LIA,
MFO,SED,APN,RET,SBC,LIA,
SED,APN,RET,MOM,SBC,LIA,
MFO,SED,APN,RET,MOM,SBC,
WEBS,BDA,DSE,RSF,APRC,ARPS,
WEBS,BDA,GEE,RSF,APRC,ARPS,
SED,RET,MOM,SBC,LIA,ELE,
MFO,ORO,RET,MOM,SBC,LIA,
MFO,ORO,SED,RET,MOM,LIA,
MFO,SED,RET,MOM,SBC,LIA,
ORO,SED,RET,MOM,SBC,LIA,
MFO,SED,APN,RET,MOM,SBC,LIA
